ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ICA1,184.4327609,-2.200932361,0.267884165,-8.215985294,2.10E-16,3.19E-15
RIMS4,40.07914987,-2.199729011,0.48104934,-4.572772124,4.81E-06,1.79E-05
SAMD13,22.70202554,-2.197476867,0.219496318,-10.01145209,1.36E-23,5.09E-22
SLC1A1,181.7227122,-2.196696945,0.287971593,-7.628172358,2.38E-14,2.77E-13
ZNF471,48.11945176,-2.196455934,0.287487397,-7.640181656,2.17E-14,2.54E-13
SLC7A10,6.48303249,-2.196333163,0.576124727,-3.812252904,0.000137706,0.000398069
KCNA1,12.569359,-2.195172178,0.446031172,-4.92156673,8.59E-07,3.64E-06
KCNJ3,0.649427553,-2.193448219,0.767759856,-2.856945698,0.00427739,0.009202813
SAA4,38.96127166,-2.192688324,0.428720781,-5.11449041,3.15E-07,1.42E-06
ATP2A3,1625.985083,-2.192515812,0.2164144,-10.13109947,4.02E-24,1.61E-22
USP13,1080.376997,-2.190796728,0.223341823,-9.809164712,1.03E-22,3.48E-21
STK32A,4.377469528,-2.190651155,0.441458931,-4.962298872,6.97E-07,2.99E-06
DCAF12L1,0.244204846,-2.188774758,0.910459163,-2.404033973,0.016215266,0.030614262
TCEA3,1092.486212,-2.187772431,0.254489952,-8.59669473,8.20E-18,1.51E-16
FHIT,24.95100082,-2.18499537,0.269498726,-8.107627821,5.16E-16,7.49E-15
DDX4,0.661434531,-2.184592886,0.613280188,-3.56214489,0.000367837,0.000985486
PCDH8,5.620689702,-2.184252501,0.573365601,-3.809528332,0.000139232,0.000402129
C8orf79,79.72481105,-2.181267557,0.312360873,-6.983165137,2.89E-12,2.63E-11
WBSCR17,102.4478859,-2.180513291,0.281881294,-7.735572875,1.03E-14,1.27E-13
C21orf34,33.31408493,-2.179289644,0.301092047,-7.237951527,4.56E-13,4.57E-12
ATP8A1,258.4855781,-2.179236362,0.244648642,-8.907616819,5.21E-19,1.11E-17
SEMA3G,269.267524,-2.178500366,0.226178676,-9.631767263,5.87E-22,1.83E-20
ATP1A3,61.1939168,-2.177772855,0.290644223,-7.492916377,6.74E-14,7.51E-13
CAPN8,7.641813109,-2.176768479,0.442473539,-4.91954498,8.67E-07,3.67E-06
SPEG,996.3298218,-2.176638331,0.259337901,-8.393059105,4.74E-17,7.89E-16
TMPRSS11A,1318.660064,-2.176417099,0.472804522,-4.603207027,4.16E-06,1.56E-05
KIAA1529,50.99283715,-2.174407345,0.277599561,-7.832891862,4.77E-15,6.21E-14
BEND7,121.1028685,-2.174243632,0.293678045,-7.403493965,1.33E-13,1.43E-12
SLC45A2,2.926754567,-2.173933776,0.398223761,-5.459076003,4.79E-08,2.45E-07
LIMCH1,1887.257024,-2.173360398,0.287044436,-7.571512033,3.69E-14,4.21E-13
BCAS1,243.6764366,-2.172447002,0.324243521,-6.700047525,2.08E-11,1.71E-10
ZNF844,110.8984756,-2.172294428,0.261824928,-8.296744102,1.07E-16,1.69E-15
TMC2,1.64088474,-2.171004043,0.423581438,-5.125352168,2.97E-07,1.34E-06
ARX,13.47767328,-2.170350572,0.429680185,-5.051083686,4.39E-07,1.93E-06
C2orf39,7.196751764,-2.169949709,0.370111592,-5.86296067,4.55E-09,2.70E-08
PITX3,20.56726297,-2.166980556,0.329542206,-6.575729961,4.84E-11,3.79E-10
ID4,541.1976973,-2.164639098,0.24228462,-8.934281923,4.10E-19,8.92E-18
RNASE4,477.1440944,-2.162767266,0.191542072,-11.29134316,1.45E-29,1.03E-27
SPINK13,1.745837817,-2.161372581,0.744944802,-2.901386215,0.003715157,0.008103012
CDH22,39.2580983,-2.15928907,0.486190223,-4.441243299,8.94E-06,3.19E-05
SLC14A2,4.224374858,-2.158991617,0.328397528,-6.57432359,4.89E-11,3.82E-10
DDO,43.09383093,-2.158815244,0.282804544,-7.633594617,2.28E-14,2.67E-13
LY6G6D,2.090944843,-2.158325711,0.454468884,-4.749116572,2.04E-06,8.10E-06
IL26,3.96470731,-2.156694343,0.393077073,-5.486695847,4.10E-08,2.12E-07
NRXN1,21.01889385,-2.156202598,0.461987109,-4.667235418,3.05E-06,1.17E-05
SCEL,4508.166664,-2.154770671,0.35806359,-6.01784357,1.77E-09,1.12E-08
ZNF677,27.10822165,-2.153996125,0.269653406,-7.988017495,1.37E-15,1.89E-14
PAK3,9.247570756,-2.14966595,0.401161578,-5.358603781,8.39E-08,4.12E-07
ZCWPW2,13.42406759,-2.148022591,0.172885811,-12.42451641,1.92E-35,2.75E-33
AGT,253.8123653,-2.147307252,0.36166559,-5.937272745,2.90E-09,1.77E-08
MGC27382,0.482905572,-2.146110894,0.615367678,-3.487526193,0.000487511,0.001274273
CFL2,1477.345116,-2.144947555,0.210995825,-10.16582939,2.82E-24,1.14E-22
BOC,883.668065,-2.144030036,0.20510486,-10.45333608,1.41E-25,6.59E-24
AADACL2,86.85341114,-2.143231314,0.610755953,-3.50914519,0.000449549,0.001183625
PTCHD1,7.674026234,-2.141408742,0.482372377,-4.43932705,9.02E-06,3.21E-05
TMEM150C,126.6105677,-2.141286971,0.256278712,-8.355305655,6.53E-17,1.07E-15
KRT23,2493.067499,-2.134766086,0.351959017,-6.065382571,1.32E-09,8.49E-09
GLOD5,1.677105471,-2.132984805,0.46291211,-4.607753309,4.07E-06,1.53E-05
OGN,178.2145056,-2.131880511,0.483094761,-4.412965497,1.02E-05,3.60E-05
C1orf105,7.621111349,-2.130350269,0.563792496,-3.778606996,0.000157708,0.000451808
DEGS2,425.8975683,-2.129461047,0.3395333,-6.271729598,3.57E-10,2.50E-09
IGFALS,6.995491562,-2.128665484,0.396076006,-5.374386366,7.68E-08,3.80E-07
FGF7,249.3116956,-2.12745684,0.294500912,-7.223939734,5.05E-13,5.05E-12
NR4A1,4558.476958,-2.127383017,0.278095549,-7.649827625,2.01E-14,2.37E-13
CP,847.2863695,-2.126731447,0.493374014,-4.31058667,1.63E-05,5.55E-05
CXCL17,1443.295028,-2.123403744,0.383279936,-5.540085839,3.02E-08,1.60E-07
FAM174B,320.6568168,-2.123051198,0.199182402,-10.65882918,1.59E-26,8.11E-25
TNFRSF19,716.1936185,-2.122055173,0.231574256,-9.163605711,5.02E-20,1.23E-18
CHST6,169.6745247,-2.121936489,0.308478059,-6.878727435,6.04E-12,5.31E-11
SVIP,158.2460294,-2.121450417,0.264377811,-8.024313431,1.02E-15,1.42E-14
IL17RD,375.4196014,-2.120078118,0.183531032,-11.55160568,7.25E-31,5.96E-29
CEACAM5,4802.875514,-2.117993195,0.42932225,-4.933341317,8.08E-07,3.43E-06
PCP4L1,243.704543,-2.117785977,0.399944316,-5.295202086,1.19E-07,5.71E-07
PDGFD,172.0889259,-2.117243004,0.262011591,-8.08072267,6.44E-16,9.23E-15
HIF3A,48.19035897,-2.116079337,0.454702916,-4.653762407,3.26E-06,1.25E-05
C14orf166B,0.286169616,-2.115794984,0.68058305,-3.108797644,0.001878503,0.004365936
KNDC1,81.60172702,-2.115330222,0.355979829,-5.94227552,2.81E-09,1.73E-08
LYVE1,235.7655105,-2.113266457,0.264463225,-7.990776236,1.34E-15,1.85E-14
KCNQ4,23.86236055,-2.112376191,0.336469794,-6.278055944,3.43E-10,2.41E-09
OLIG1,6.787034168,-2.110797066,0.492604177,-4.284975983,1.83E-05,6.17E-05
C2orf73,1.294536044,-2.106729473,0.518546592,-4.0627583,4.85E-05,0.000152221
LIFR,556.046332,-2.105632286,0.255414917,-8.243967535,1.67E-16,2.57E-15
IQGAP2,497.2590848,-2.104961789,0.267726152,-7.862368966,3.77E-15,4.97E-14
NKX3-1,376.5994031,-2.103972119,0.239694926,-8.77770821,1.67E-18,3.36E-17
CD200R1,51.94978302,-2.10314335,0.285802246,-7.358736257,1.86E-13,1.97E-12
SPATA6,45.47504542,-2.101713329,0.230802718,-9.106103016,8.54E-20,2.03E-18
NSUN7,71.28755774,-2.097802479,0.334561303,-6.2703082,3.60E-10,2.52E-09
FAIM2,51.78645319,-2.09693129,0.284351467,-7.374434583,1.65E-13,1.76E-12
CACNB1,804.7866893,-2.092675255,0.316437555,-6.613232926,3.76E-11,2.99E-10
ARSH,1.957585621,-2.092622521,0.33805962,-6.190099007,6.01E-10,4.06E-09
CRCT1,3950.475744,-2.0924205,0.428581363,-4.882201328,1.05E-06,4.38E-06
